group | field | count | mean | median | std | min | max
---------------------------------------------------------
generated | question_tokens | 1774 | 27.210 | 27.000 | 6.536 | 10.000 | 52.000
generated | question_chars | 1774 | 170.277 | 167.000 | 45.696 | 56.000 | 344.000
generated | answer_tokens | 1774 | 79.903 | 77.000 | 23.689 | 28.000 | 164.000
generated | answer_chars | 1774 | 607.656 | 583.500 | 174.983 | 243.000 | 1292.000
kept | question_tokens | 1659 | 27.319 | 27.000 | 6.558 | 10.000 | 52.000
kept | question_chars | 1659 | 170.935 | 167.000 | 45.850 | 56.000 | 344.000
kept | answer_tokens | 1659 | 80.391 | 77.000 | 23.842 | 28.000 | 164.000
kept | answer_chars | 1659 | 610.504 | 586.000 | 176.258 | 243.000 | 1292.000
eliminated | question_tokens | 115 | 25.643 | 25.000 | 6.005 | 11.000 | 42.000
eliminated | question_chars | 115 | 160.791 | 156.000 | 42.282 | 80.000 | 279.000
eliminated | answer_tokens | 115 | 72.870 | 71.000 | 20.079 | 37.000 | 137.000
eliminated | answer_chars | 115 | 566.565 | 544.000 | 149.508 | 294.000 | 1155.000
ir_good | question_tokens | 1586 | 27.528 | 27.000 | 6.508 | 10.000 | 52.000
ir_good | question_chars | 1586 | 172.506 | 169.000 | 45.367 | 56.000 | 338.000
ir_good | answer_tokens | 1586 | 80.850 | 78.000 | 23.723 | 28.000 | 164.000
ir_good | answer_chars | 1586 | 613.859 | 591.000 | 175.428 | 243.000 | 1292.000
qa_gold | question_tokens | 401 | 29.581 | 30.000 | 6.509 | 15.000 | 52.000
qa_gold | question_chars | 401 | 189.476 | 189.000 | 45.281 | 77.000 | 338.000
qa_gold | answer_tokens | 401 | 90.938 | 89.000 | 21.502 | 46.000 | 164.000
qa_gold | answer_chars | 401 | 686.431 | 671.000 | 159.645 | 351.000 | 1292.000
