qa_id,question,expected_answer,source_text,target_text,method,split,persona,reference_type,source_passage_pid,target_passage_pid,source_doc_id,target_doc_id,source_doc_title,source_passage_id,target_doc_title,target_passage_id
DPEL_000785,"When an Authorised Person has eligible financial Collateral for an SFT and a qualifying bilateral Netting agreement, how do they calculate the pre-settlement Counterparty Exposure?","An Authorised Person should first recognise the effect of eligible financial Collateral according to Rules 4.9.17 to 4.9.20 [#SRC:b2a0076b-8f51-4fc4-ac5b-6df2d25c4778]. If a qualifying bilateral Netting agreement is in place and the FCCA is used, they must calculate E* for all CR Exposures to any single Counterparty under the agreement, as per Rules A4.3.2 to A4.3.6 in App4 [#TGT:56e2cb44-f613-4f2a-bd4c-8726a79a5776]. E* is then used instead of E to calculate the Credit Risk weighted Exposure amount under Section 4.8 [#TGT:56e2cb44-f613-4f2a-bd4c-8726a79a5776].",Measurement of E for pre settlement Counterparty Exposures arising from SFTs. An Authorised Person which has taken eligible financial Collateral for any SFT where the pre settlement Counterparty Exposure is determined in accordance with Rule 4.9.15 may recognise the effect of such Collateral in accordance with Rules 4.9.17 to 4.9.20.,"Measurement of E for pre settlement Counterparty Exposures arising from SFTs. An Authorised Person which has taken eligible financial Collateral for an SFT that is covered by a qualifying bilateral Netting agreement and using the FCCA, must calculate E* for all its CR Exposures to any single Counterparty covered by the qualifying bilateral Netting agreement, in accordance with Rules A4.3.2 to A4.3.6 in App4 (if the Authorised Person is using supervisory haircuts or own estimate haircuts), and substitute E* for E when calculating the Credit Risk weighted Exposure amount for its CR Exposures to that Counterparty under Section 4.8.",DPEL,train,Basic,Internal,b2a0076b-8f51-4fc4-ac5b-6df2d25c4778,56e2cb44-f613-4f2a-bd4c-8726a79a5776,13,13,PRU,4.9.16,PRU,4.9.20
DPEL_000604,"What must a Recognised Clearing House do about designating people under Rule 4.5.8, and how can the Default Rules apply to Designated Non-Members?","A Recognised Clearing House must have proper procedures to designate people or types of people for action, as allowed by Rule 4.5.8 [#SRC:242b0395-19a9-4471-85cb-e31dac7eae5d]. These procedures should include checking who should be designated or stay designated and removing designations when needed [#SRC:242b0395-19a9-4471-85cb-e31dac7eae5d]. The Default Rules can include similar provisions for Designated Non-Members, who are designated according to Rule 4.5.9, just like they do for Members of the Recognised Clearing House [#TGT:817f6968-e9c3-4cb9-89c7-cf942d033bb4].","If such provision is made as allowed under Rule 4.5.8, the Recognised Clearing House must have adequate procedures for: (a) designating the Persons, or descriptions of person, in respect of whom action may be taken; (b) keeping under review the question which Persons or descriptions of person should be or remain so designated; and (c) withdrawing such designation.","The Default Rules may make the same or similar provision, in relation to Designated Non-Members that have been designated as such in accordance with the procedures mentioned in Rule 4.5.9, as in relation to Members of the Recognised Clearing House.",DPEL,train,Basic,Internal,242b0395-19a9-4471-85cb-e31dac7eae5d,817f6968-e9c3-4cb9-89c7-cf942d033bb4,10,10,MIR,4.5.9,MIR,4.5.8
DPEL_000529,"When can a Payment Service Provider charge for information, and what limits are there on these charges?","A Payment Service Provider can charge for information if it is extra to what Section 19.2 requires, given more often than Section 19.2 says, or sent using different communication methods than those in the Framework Contract [#TGT:18f42ca0-235a-47ac-9e8c-47bd6dd631d7]. The charges must not be more than the actual costs of providing the information [#SRC:0ddfb32a-c23e-4da9-af5e-d04b51f92c41].",Any charges imposed under Rule 19.2.16 must not exceed the Payment Service Providers actual costs of providing such information.,The Payment Service Provider and the Payment Service User may agree on charges for any information which is provided at the request of the Payment Service User where such information is: (a) additional to the information required to be provided or made available by Section 19.2; (b) provided more frequently than is specified in Section 19.2; or (c) transmitted by means of communication other than those specified in the Framework Contract.,DPEL,train,Basic,Internal,0ddfb32a-c23e-4da9-af5e-d04b51f92c41,18f42ca0-235a-47ac-9e8c-47bd6dd631d7,3,3,CoBs,19.2.17,CoBs,19.2.16
DPEL_000066,"When can the rules about telling the Payment Service Provider about a lost Payment Instrument not apply, and how does this affect who pays for unauthorised transactions?","The rules about notifying the Payment Service Provider of a lost Payment Instrument may not apply if the Payment Instrument is a Low Value Payment Instrument that cannot be stopped or prevented from being used [#SRC:1db4fdad-1fa0-4aae-ad68-56d8705902d9]. This affects who pays for unauthorised transactions because, normally, the Payer is not responsible for losses after they notify the Payment Service Provider, as long as the means to notify were available [#TGT:bc276114-5360-4893-a879-9539f81273ce]. If these rules do not apply, the Payer might still have to cover some losses unless other conditions, like the Payment Service Provider not using Strong Customer Authentication, are met [#TGT:bc276114-5360-4893-a879-9539f81273ce].",The parties may agree that the following Rules do not apply where a Low Value Payment Instrument does not allow for the stopping or prevention of its use: (a) Rule 19.11.1 (3) (notification of loss of Payment Instrument); and (b) Rule 19.20.1(4) (Payer not liable for certain losses).,"Subject to (1), except where the Payer has acted fraudulently, the Payer is not liable for any losses incurred in respect of an unauthorised Payment Transaction: (a) arising after notification to the Payment Service Provider in the agreed manner on becoming aware of the loss, theft, misappropriation or unauthorised use of the Payment Instrument; (b) where the Payment Service Provider has failed at any time to provide, in accordance with Rule 19.11.1(3), appropriate means for notification; (c) where the Payer’s Payment Service Provider has failed to apply Strong Customer Authentication; or (d) where the Payment Instrument has been used in connection with an Electronic Remote Payment Transaction.",DPEL,test,Basic,Internal,1db4fdad-1fa0-4aae-ad68-56d8705902d9,bc276114-5360-4893-a879-9539f81273ce,3,3,CoBs,19.6.2.(1),CoBs,19.20.1.(4)
DPEL_000085,"When must an Authorised Person deduct capital instruments from AT1 and T2 Capital if they have cross-holdings with other entities, and why does this matter?",An Authorised Person must deduct holdings of AT1 and T2 Capital instruments from its capital calculations when there are reciprocal cross-holdings with Relevant Entities that artificially inflate its Capital Resources. This is important because it ensures that the Authorised Person's reported capital reflects its true financial position without being inflated by such arrangements [#SRC:3bd61854-86d4-427f-9af0-54918b0e84c8][#TGT:5e7bdc23-7d1f-4fc2-8c33-dca7595021ab].,"AT1 Deductions. Subject to the following Rules in this Section, an Authorised Person must deduct the following from the calculation of its AT1 Capital: (a) direct and indirect holdings by an Authorised Person of own AT1 Capital instruments including instruments under which an Authorised Person is under an actual or contingent obligation to effect a purchase by virtue of an existing contractual obligation; (b) holdings of the AT1 Capital instruments of Relevant Entities where those entities have a reciprocal cross-holding with the Authorised Person which have the effect of artificially inflating the Capital Resources of the Authorised Person; (c) the amount determined in accordance with Rule 3.11.8 of direct and indirect holdings by the Authorised Person of the AT1 Capital instruments of Relevant Entities where the Authorised Person does not have a significant investment in those entities; (d) direct and indirect holdings by the Authorised Person of the AT1 Capital instruments of Relevant Entities where the Authorised Person has a significant investment in those entities, excluding Underwriting positions held for five working days or fewer; and (e) the amounts required to be deducted from T2 Capital pursuant to Rule 3.12.4 that exceed the T2 Capital of the Authorised Person.","T2 regulatory deductions and exclusions. Subject to the following Rules in this Section, an Authorised Person must deduct the following from the calculation of its T2 Capital: (a) direct and indirect holdings by an Authorised Person of own T2 Capital instruments, including own T2 instruments that an Authorised Person could be obliged to purchase as a result of existing contractual obligations; (b) holdings of the T2 Capital instruments of Relevant Entities where those entities have a reciprocal cross holding with the Authorised Person which have the effect of artificially inflating the Capital Resources of the Authorised Person; (c) the amount of direct and indirect holdings by the Authorised Person of the T2 Capital instruments of Relevant Entities where the Authorised Person does not have a significant investment in those entities; and (d) direct and indirect holdings by the Authorised Person of the T2 Capital instruments of Relevant Entities where the Authorised Person has a significant investment in those entities, excluding Underwriting positions held for fewer than five working days.",DPEL,train,Basic,Internal,3bd61854-86d4-427f-9af0-54918b0e84c8,5e7bdc23-7d1f-4fc2-8c33-dca7595021ab,13,13,PRU,3.11.4,PRU,3.12.4
DPEL_000288,"When does a Director need to tell other Directors about a notifiable interest, and what counts as a notifiable interest?","A Director needs to inform the other Directors about a notifiable interest within five Business Days after it arises or changes [#SRC:cd444b43-bdff-4dfb-b5ff-30079350bc56]. A notifiable interest includes any interest from owning or benefiting from Investments in the Reporting Entity, or from being involved in financial or commercial arrangements with it [#TGT:b268cfdd-fc86-4b4a-b0d3-b860ac478b2f].","Subject to (2), a notice relating to a notifiable interest must be given by a Person referred to in Rule 7.4.2, to the other Directors of the Reporting Entity within five Business Days of the notifiable interest arising or changing.","Definition of a notifiable interest. A Director of a Reporting Entity has a notifiable interest in the Reporting Entity if that Person has any interest arising through: (1) the direct or indirect ownership of, or beneficial ownership of, Investments in the Reporting Entity; or (2) any involvement in financial or commercial arrangement with or relating to the Reporting Entity.",DPEL,dev,Basic,Internal,cd444b43-bdff-4dfb-b5ff-30079350bc56,b268cfdd-fc86-4b4a-b0d3-b860ac478b2f,11,11,MKT,7.4.3.(1),MKT,7.4.2
DPEL_000047,"If an Authorised Person wants to use a Client's Safe Custody Assets, what records do they need to keep, and what controls should they have?","When an Authorised Person wants to use a Client's Safe Custody Assets, they must keep records of the Client's written permission for using Client Investments, as required by Rule 15.4.4 and Rule 15.4.5 [#SRC:803ff2b9-9528-459a-b9d2-45066785e9f5]. They also need to have systems and controls to ensure they get the Client's permission first, keep records to protect the assets, return equivalent assets to the Client's account, and make sure the Client is not disadvantaged [#TGT:82a79456-0923-48f0-8521-17b43774e939].",The following records must be included in the Resolution Pack of an Authorised Person conducting Investment Business: (a) Rules 2.7.1 and 3.7.1(d) (records of Client classification and Client agreements); (b) Rules 14.6.2 and 15.4.3 (master lists of all Client Accounts in relation to Client Money and Client investments); (c) Rule 15.4.4 and Rule 15.4.5 (adequate records and Client's written permission re use of Client Investments); (d) Rules 14.7.1 and 14.7.4 (assessment of appropriateness of Third-Party Agent and acknowledgement by Third-Party agent in respect of Client Money); and (e) Rule 15.5.1 and 15.6.1 (assessment of appropriateness of Third Party Agent and acknowledgement by Third-Party Agent in respect of Client Investments); and (f) Rule 14.11.1 and 15.9.1 (most recent reconciliations of Client Money and Client Investments).,"An Authorised Person which intends to use a Client's Safe Custody Assets for its own purpose or that of another Person, must have systems and controls in place to ensure that: (a) it obtains that Client's prior written permission; (b) adequate records are maintained to protect Safe Custody Assets which are applied as collateral or used for stock lending activities; (c) the equivalent assets are returned to the Client Account of the Client; and (d) the Client is not disadvantaged by the use of his Safe Custody Assets.",DPEL,train,Basic,Internal,803ff2b9-9528-459a-b9d2-45066785e9f5,82a79456-0923-48f0-8521-17b43774e939,3,3,CoBs,16.4.1,CoBs,15.4.5
DPEL_001450,"When does a Petroleum Reporting Entity not need to include a special table in its Summary of Reserves and Resources, and how recent must the table be if it is needed?","A Petroleum Reporting Entity does not need to include a special table in its Summary of Reserves and Resources if it files SEC compliant Forms 10-K and 20-F Reports annually with the SEC [#TGT:b249219a-57ec-4b15-be46-58475357c6c1]. If the table is needed, it must be based on data from no more than one month before the Summary is disclosed [#SRC:cd137cde-9ef8-4ed1-a401-6bf47f8ccb04].","Subject to Rule 12.14.3, a Petroleum Reporting Entity must include in its Summary of Reserves and Resources a table in the form of MKT Form 12-1, as of a date no earlier than one month prior to the disclosure of the Summary of Reserves and Resources.",A Petroleum Reporting Entity that is required to file SEC compliant Forms 10-K and 20-F Reports annually with the SEC is not required to comply with Rule 12.14.1.,DPEL,train,Basic,Internal,cd137cde-9ef8-4ed1-a401-6bf47f8ccb04,b249219a-57ec-4b15-be46-58475357c6c1,11,11,MKT,12.14.1,MKT,12.14.3
DPEL_000810,"What are the parts of T2 Capital, and how do later rules about deductions affect it?","T2 Capital is made up of eligible capital instruments and their Share premium accounts [#TGT:2ba8da20-d967-4d1e-bf49-877f5e6ceddb]. The total is adjusted by deductions specified later in the Section, which can decrease the overall T2 Capital [#SRC:50484f09-d585-4330-9505-ba858c7d09c6].",Tier 2 Capital (referred to in these Rules as T2 Capital) constitutes the sum of the elements in Rule 3.12.2 subject to the deductions stipulated later in this Section.,T2 Capital consists of the sum of the following elements: (a) capital instruments which meet the eligibility criteria laid down in Rule 3.12.3; and (b) the Share premium accounts related to the instruments referred to in (a).,DPEL,train,Basic,Internal,50484f09-d585-4330-9505-ba858c7d09c6,2ba8da20-d967-4d1e-bf49-877f5e6ceddb,13,13,PRU,3.12.1,PRU,3.12.2
DPEL_000952,How should a Branch handle its liquidity and what reports must it send to the Regulator?,"A Branch should ensure it has enough liquid assets and financial resources to meet its business needs and avoid risks of not paying liabilities [#TGT:9fbb61f7-59fe-4340-85f8-ab6b9e7fb03c]. This can be done by holding cash, planning cashflows, or borrowing [#SRC:456ed7d2-778d-4597-862e-2c4582c20c87]. It must also send capital adequacy and Leverage Ratio reports to the Regulator within ten business days of sending them to its Home State Regulator [#TGT:9fbb61f7-59fe-4340-85f8-ab6b9e7fb03c].","In accordance with Rule 3.2.2 or Rule 3.2.4, an Authorised Person is required to ensure that there is no significant risk that liabilities cannot be met as they fall due. With specific reference to liquidity, an Authorised Person may meet its obligations in a number of ways, including: a. by holding sufficient immediately available cash or readily marketable assets; b. by securing an appropriate matching future profile of cashflows; and c. by further borrowing.","Branches – general requirements. An Authorised Person that is a Branch must: (a) ensure that it has and maintains, at all times, liquid assets and access to financial resources which are adequate in relation to the nature, size and complexity of its business both as to amount and quality to ensure that there is no significant risk that liabilities cannot be met as they fall due; (b) ensure that it complies at all times with its Home State Regulator's prudential requirements; (c) submit to the Regulator a copy of every capital adequacy summary report and Leverage Ratio report submitted to its Home State Regulator within ten business days of the due date for submission to that regulator; and (d) in the event of any anticipated or actual breach of any prudential requirements set by its Home State Regulator, notify the Regulator immediately with any relevant documents.",DPEL,train,Basic,Internal,456ed7d2-778d-4597-862e-2c4582c20c87,9fbb61f7-59fe-4340-85f8-ab6b9e7fb03c,13,13,PRU,9.1.1.Guidance.1.,PRU,3.2.2
