qid,num_rel,num_methods_hit_any,num_methods_hit_all,high_concordance_any,low_concordance_any,k,bge.txt_hit_any,bge.txt_hit_all,bge.txt_rel_in_topk,bge.txt_first_hit_rank,bm25.txt_hit_any,bm25.txt_hit_all,bm25.txt_rel_in_topk,bm25.txt_first_hit_rank,bm25_e5_rerank.txt_hit_any,bm25_e5_rerank.txt_hit_all,bm25_e5_rerank.txt_rel_in_topk,bm25_e5_rerank.txt_first_hit_rank,e5.txt_hit_any,e5.txt_hit_all,e5.txt_rel_in_topk,e5.txt_first_hit_rank,hybrid_rrf_bm25_e5.txt_hit_any,hybrid_rrf_bm25_e5.txt_hit_all,hybrid_rrf_bm25_e5.txt_rel_in_topk,hybrid_rrf_bm25_e5.txt_first_hit_rank
00124ef1-94b7-4a63-a21f-67f6296c0dcd,2,5,2,True,False,10,True,False,1,1,True,False,1,5,True,True,2,1,True,False,1,1,True,True,2,1
00418cb6-ef89-4fae-b584-1c3832e7c8c0,2,4,0,True,False,10,False,False,0,,True,False,1,1,True,False,1,1,True,False,1,3,True,False,1,1
0089f85f-097f-489d-a7a9-b9ceb808f1df,2,5,4,True,False,10,True,True,2,1,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
012be04e-5b16-4109-b263-73fcad363d0c,2,5,4,True,False,10,True,True,2,1,True,False,1,1,True,True,2,2,True,True,2,2,True,True,2,1
01345523-10ac-4dc6-92fd-06fda164a565,2,5,1,True,False,10,True,False,1,3,True,False,1,4,True,False,1,5,True,False,1,6,True,True,2,1
01433106-178c-4cb2-9f34-1220e5beb4d3,2,5,5,True,False,10,True,True,2,1,True,True,2,4,True,True,2,1,True,True,2,1,True,True,2,1
016a4fbd-aa5d-4dc2-8d39-8a325d99f5f6,2,5,4,True,False,10,True,True,2,1,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
01a82f57-cdd2-42da-862a-e79413bfcfe2,2,4,4,True,False,10,True,True,2,1,False,False,0,,True,True,2,1,True,True,2,2,True,True,2,5
031b97e0-743a-400a-b86c-b62609f60a0c,2,5,4,True,False,10,True,True,2,1,True,False,1,9,True,True,2,2,True,True,2,2,True,True,2,1
038f9988-f5c7-4f60-b72f-c102608558d5,2,4,0,True,False,10,True,False,1,1,False,False,0,,True,False,1,1,True,False,1,1,True,False,1,2
03e8af51-7a07-40eb-afe3-478ad90ab707,2,5,5,True,False,10,True,True,2,1,True,True,2,2,True,True,2,1,True,True,2,1,True,True,2,2
04064cad-444b-476f-9153-45e57fa47580,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
04c0fe74-f05f-4991-b7cc-10ab8779b2ee,2,5,3,True,False,10,True,False,1,9,True,False,1,4,True,True,2,1,True,True,2,1,True,True,2,1
051a15cf-b3c6-4e89-b2c5-c6ffed7f8fcd,2,5,1,True,False,10,True,True,2,2,True,False,1,1,True,False,1,3,True,False,1,3,True,False,1,1
0534a953-7cd1-4145-aa63-ccef509dc304,2,5,4,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,False,1,1,True,True,2,1
05a2f705-a559-418e-aea4-a28248f09c2d,2,5,3,True,False,10,True,True,2,1,True,True,2,1,True,False,1,1,True,False,1,1,True,True,2,1
06842c74-6503-48da-b51a-e2d8c6978452,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
072b02ef-47c3-4015-8b5c-38927219f613,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
07881caa-e150-4dd5-83ee-5701f3cda132,2,5,1,True,False,10,True,False,1,3,True,False,1,1,True,True,2,1,True,False,1,3,True,False,1,1
07b4e08e-8cee-4fcc-96bc-3ec05776ab07,2,5,5,True,False,10,True,True,2,2,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
080d0ccf-2780-4792-92f7-9b018b222bb4,2,4,0,True,False,10,False,False,0,,True,False,1,2,True,False,1,4,True,False,1,4,True,False,1,1
0812b4ce-7d55-416d-ac34-8d5bcfb2c4d9,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
087d65d8-85b1-4e78-9794-c8d61b253b35,2,5,4,True,False,10,True,True,2,4,True,False,1,2,True,True,2,1,True,True,2,1,True,True,2,1
08c6738c-ab7d-49dc-bab8-2d7ec4cb13c5,2,5,0,True,False,10,True,False,1,5,True,False,1,5,True,False,1,6,True,False,1,6,True,False,1,1
092fde3e-244d-4bef-adae-96b4d34d9550,2,5,5,True,False,10,True,True,2,3,True,True,2,1,True,True,2,3,True,True,2,3,True,True,2,1
0988a033-5ce8-49f9-a251-f885ed02e7f8,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
09a1255b-c367-4ef2-8697-43139e9c4b32,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
0ad5597b-fca3-41f6-a71b-731964cc477f,2,5,0,True,False,10,True,False,1,2,True,False,1,5,True,False,1,1,True,False,1,1,True,False,1,2
0b190534-a8cb-4cbc-92fd-9925a53ee445,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
