qid,num_rel,num_methods_hit_any,num_methods_hit_all,high_concordance_any,low_concordance_any,k,bge.txt_hit_any,bge.txt_hit_all,bge.txt_rel_in_topk,bge.txt_first_hit_rank,bm25.txt_hit_any,bm25.txt_hit_all,bm25.txt_rel_in_topk,bm25.txt_first_hit_rank,bm25_e5_rerank.txt_hit_any,bm25_e5_rerank.txt_hit_all,bm25_e5_rerank.txt_rel_in_topk,bm25_e5_rerank.txt_first_hit_rank,e5.txt_hit_any,e5.txt_hit_all,e5.txt_rel_in_topk,e5.txt_first_hit_rank,hybrid_rrf_bm25_e5.txt_hit_any,hybrid_rrf_bm25_e5.txt_hit_all,hybrid_rrf_bm25_e5.txt_rel_in_topk,hybrid_rrf_bm25_e5.txt_first_hit_rank
00d3c668-e8b1-49e4-9459-5d2edbde30de,2,5,0,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
00dc6780-99d9-4e1e-91eb-a3f783ab1318,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
016812a8-8576-4673-8267-a972a23d0a96,2,5,1,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,True,2,1
01814b8e-4fb3-488f-bd0e-f8cc19d9604d,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
01866da8-39b1-44b1-85dc-d0afa6272629,2,2,1,False,False,10,False,False,0,,False,False,0,,False,False,0,,True,True,2,1,True,False,1,10
025bdc7e-7a33-4c58-9dee-b0018fe0a0a1,2,5,5,True,False,10,True,True,2,1,True,True,2,7,True,True,2,1,True,True,2,1,True,True,2,2
02a70909-2b2f-403f-9bce-0709c908972a,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
02f9d484-6000-4df1-b9f1-7d9a1e9dccdd,2,5,5,True,False,10,True,True,2,1,True,True,2,5,True,True,2,1,True,True,2,1,True,True,2,1
032ce597-c7f6-4341-85c8-8b491fde60b1,2,5,4,True,False,10,True,True,2,1,True,False,1,3,True,True,2,1,True,True,2,1,True,True,2,1
033c7707-c7d4-4d64-b54f-5e55a0710d83,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
0397bf08-8112-4f13-9f5f-426b276f44b5,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,2,True,True,2,2,True,True,2,1
03b9142e-8128-4424-87bf-88d9a85fe6ee,2,5,2,True,False,10,True,False,1,2,True,True,2,1,True,False,1,3,True,False,1,3,True,True,2,1
03c79667-43e1-464c-bab8-8adffa16c9ea,2,3,1,False,False,10,True,False,1,9,True,False,1,2,False,False,0,,False,False,0,,True,True,2,1
03d0c9c9-b8e4-4f09-9554-8e4cb62507c3,2,4,1,True,False,10,True,False,1,9,False,False,0,,True,False,1,7,True,False,1,7,True,True,2,3
040bd6f8-08ab-45f3-8bfa-01eb62158a54,2,3,0,False,False,10,True,False,1,5,True,False,1,10,False,False,0,,False,False,0,,True,False,1,3
049d3db1-cf99-4d65-83c4-00a89f4e5815,2,5,4,True,False,10,True,True,2,1,True,False,1,7,True,True,2,1,True,True,2,1,True,True,2,1
051f4301-f67f-46a1-8c47-0e1cc501b59a,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,2,True,True,2,2,True,True,2,1
069d1f5e-5308-48e0-b36a-be0263c44a6e,2,5,4,True,False,10,True,False,1,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
06b3014f-3bfe-44fd-95c9-9aca7ed8440a,2,2,1,False,False,10,False,False,0,,False,False,0,,True,False,1,9,False,False,0,,True,True,2,2
0707a103-76ec-41f4-a7d9-151d68b29aa9,2,4,0,True,False,10,False,False,0,,True,False,1,5,True,False,1,3,True,False,1,9,True,False,1,1
0753c96b-8273-4f8e-8bd9-7bfd013997a9,2,5,4,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,False,1,1,True,True,2,1
078c277f-4c26-4087-80fe-e45bb0211592,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
087cd55b-1694-4532-bb23-8f6d3183510e,2,5,0,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
09284a24-45da-4050-b459-e81814079655,2,5,2,True,False,10,True,False,1,1,True,True,2,3,True,False,1,1,True,False,1,1,True,True,2,2
09786809-bc15-4164-970e-955ce2a6f26c,2,4,0,True,False,10,True,False,1,5,False,False,0,,True,False,1,1,True,False,1,3,True,False,1,2
09950d59-885e-4331-b16c-534a6c10615f,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,2,True,True,2,2,True,True,2,1
09b15003-be0c-4a68-9885-5a3341502a44,2,5,3,True,False,10,True,False,1,9,True,False,1,7,True,True,2,2,True,True,2,2,True,True,2,1
09c0c774-7477-46de-ad01-db04d6f3c930,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
09ea869a-aece-4090-8c48-8b2036e3fd7a,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
0a80889a-4285-485b-b1f7-9d3d16230dda,2,5,0,True,False,10,True,False,1,4,True,False,1,2,True,False,1,4,True,False,1,5,True,False,1,2
0ae43053-b6e5-4e6d-9f1c-6f3eaa4a03c0,2,5,5,True,False,10,True,True,2,1,True,True,2,2,True,True,2,1,True,True,2,1,True,True,2,1
0b0159d8-7190-4ce9-8b3c-16f5d39d2c59,2,5,0,True,False,10,True,False,1,2,True,False,1,4,True,False,1,1,True,False,1,1,True,False,1,1
0b3ee277-845e-465c-b839-b3215f510c87,2,5,4,True,False,10,True,True,2,1,True,False,1,4,True,True,2,1,True,True,2,1,True,True,2,1
0b469bd1-f8ca-4071-a19c-7084984dfdc2,2,5,5,True,False,10,True,True,2,3,True,True,2,2,True,True,2,2,True,True,2,2,True,True,2,2
0bb0df49-c751-4a9f-9450-4b7a53cad7d3,2,5,3,True,False,10,True,False,1,1,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
0bba1090-28b5-4c57-8360-0d272061abfc,2,5,4,True,False,10,True,True,2,2,True,True,2,4,True,True,2,2,True,False,1,3,True,True,2,2
0bd9519b-2e7b-487f-985e-9b448bbf4aa9,2,5,1,True,False,10,True,False,1,1,True,False,1,3,True,False,1,1,True,False,1,1,True,True,2,1
0bf38e91-c8b6-4105-bc44-2390c2bd5341,2,5,5,True,False,10,True,True,2,1,True,True,2,4,True,True,2,1,True,True,2,1,True,True,2,3
0c5a75cd-57e0-4c49-b964-00eda9c55f02,2,5,3,True,False,10,True,False,1,4,True,True,2,2,True,True,2,2,True,False,1,2,True,True,2,1
0d30ec44-1ede-4181-ad26-d822674590a1,2,5,3,True,False,10,True,True,2,1,True,True,2,1,True,False,1,1,True,False,1,1,True,True,2,1
0d584a6c-d2e8-4a87-9928-589eb1329d5c,2,5,0,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
0d61950f-c752-49cb-9e90-115344b8ed5e,2,4,2,True,False,10,True,False,1,10,True,False,1,1,True,True,2,6,False,False,0,,True,True,2,1
0d83b1bc-90e1-4021-b403-1c727f39a346,2,5,4,True,False,10,True,True,2,4,True,False,1,2,True,True,2,1,True,True,2,2,True,True,2,1
0dc60410-ac43-4ec5-9aba-760790936177,2,5,0,True,False,10,True,False,1,1,True,False,1,4,True,False,1,1,True,False,1,1,True,False,1,1
0e36e082-8028-46c1-8d84-0df60ebb7323,2,5,0,True,False,10,True,False,1,2,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
0e58c00c-c692-493f-800c-cdb791a3c2b8,2,5,5,True,False,10,True,True,2,1,True,True,2,2,True,True,2,1,True,True,2,1,True,True,2,1
0ecb38e9-92dc-4df6-97fd-c9df8f640c9f,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
0ed8fda3-f46a-4a47-9d72-c37b90943a59,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
0f0e96d6-8d2c-40dc-baaa-92b47772f4d7,2,5,0,True,False,10,True,False,1,5,True,False,1,3,True,False,1,5,True,False,1,5,True,False,1,1
0f1cc131-b90c-4a42-8974-90bfdffcdb93,2,5,3,True,False,10,True,True,2,3,True,True,2,1,True,False,1,2,True,False,1,2,True,True,2,1
0f6ad3a9-e935-4153-963e-7ef502ab94d9,2,5,5,True,False,10,True,True,2,1,True,True,2,3,True,True,2,1,True,True,2,1,True,True,2,1
0f72be04-b22d-42c6-b64c-b0c4e720b76c,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
0fb25af3-66f6-4820-b14e-0d5a55041747,2,5,5,True,False,10,True,True,2,1,True,True,2,2,True,True,2,1,True,True,2,1,True,True,2,1
0ff1dc70-d57a-4ace-84b2-ee79a1742927,2,5,4,True,False,10,True,True,2,4,True,True,2,1,True,True,2,5,True,False,1,6,True,True,2,1
1038e51f-5f3e-4065-9683-f3a5c77df911,2,5,1,True,False,10,True,False,1,1,True,False,1,3,True,False,1,1,True,False,1,1,True,True,2,1
10a60983-5665-468b-84ca-a8ac89f0bc75,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
10fb468b-2386-4a4c-818d-76da09a4ce2d,2,5,5,True,False,10,True,True,2,1,True,True,2,2,True,True,2,1,True,True,2,1,True,True,2,1
10fe1370-bcb1-460b-972b-e87787587efe,2,4,2,True,False,10,True,True,2,3,True,False,1,8,True,False,1,9,False,False,0,,True,True,2,3
1116d506-c193-419a-9239-9780cbcdc0ee,2,5,0,True,False,10,True,False,1,5,True,False,1,6,True,False,1,2,True,False,1,2,True,False,1,2
11a7c45f-a9ac-4713-b354-417c9e00f18d,2,5,5,True,False,10,True,True,2,1,True,True,2,2,True,True,2,1,True,True,2,1,True,True,2,2
11ce0ae6-7b71-405b-a987-c06b80072817,2,5,3,True,False,10,True,False,1,1,True,False,1,6,True,True,2,2,True,True,2,2,True,True,2,1
11d432b5-8385-4d7d-9787-f4290d096add,2,5,3,True,False,10,True,True,2,1,True,True,2,1,True,False,1,1,True,False,1,1,True,True,2,1
121f75e5-4f28-4d2e-bddf-7dbba58231de,2,5,4,True,False,10,True,False,1,1,True,True,2,1,True,True,2,3,True,True,2,3,True,True,2,1
12b1a68c-9960-4749-9879-661dd2ac06e6,2,4,0,True,False,10,True,False,1,4,False,False,0,,True,False,1,6,True,False,1,6,True,False,1,3
12c711eb-cc9c-4ca9-8953-0f0efe054a9b,2,5,4,True,False,10,True,False,1,1,True,True,2,2,True,True,2,2,True,True,2,2,True,True,2,1
12d13785-336e-4e00-a255-3ca1e824becd,2,5,5,True,False,10,True,True,2,1,True,True,2,2,True,True,2,1,True,True,2,1,True,True,2,1
1334da40-816f-4da0-b135-6663bb2f5805,2,5,5,True,False,10,True,True,2,1,True,True,2,2,True,True,2,2,True,True,2,2,True,True,2,1
13e9586f-6cbd-493e-a472-956d782243fa,2,5,1,True,False,10,True,False,1,1,True,True,2,1,True,False,1,1,True,False,1,1,True,False,1,1
13eb12fc-458d-4970-8e33-5f3d8ff93d09,2,5,0,True,False,10,True,False,1,2,True,False,1,9,True,False,1,1,True,False,1,1,True,False,1,1
147899de-41dc-4e2b-af6b-7d57e4ed2969,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
14ed95ba-7b5d-468b-8d90-954b54bdfb7c,2,5,3,True,False,10,True,False,1,1,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
14f4aa46-c5f2-431f-b47a-b260aff253da,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
156d3e91-e8a3-4b9b-a87c-3a644225b289,2,5,1,True,False,10,True,False,1,1,True,False,1,2,True,False,1,1,True,False,1,1,True,True,2,2
15dadb76-b267-41f2-b60e-7bc89f969768,2,5,5,True,False,10,True,True,2,2,True,True,2,1,True,True,2,2,True,True,2,2,True,True,2,1
15ed4f2d-9373-4e2e-8d48-3de2990e52a7,2,5,3,True,False,10,True,False,1,2,True,False,1,4,True,True,2,2,True,True,2,2,True,True,2,1
1603f176-15a3-44c4-aaa1-c1ffa66f3808,2,5,1,True,False,10,True,False,1,1,True,True,2,1,True,False,1,1,True,False,1,1,True,False,1,1
16442955-f93c-46f8-a21b-b5c6e829fb65,2,5,0,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
164a4c69-745e-41b9-8cb0-11f6e7aeb60c,2,5,0,True,False,10,True,False,1,1,True,False,1,1,True,False,1,4,True,False,1,4,True,False,1,1
16685a37-927b-4339-bae3-5f0403fd855f,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
167a3836-2d09-4111-9d94-b6b2470786dc,2,1,0,False,True,10,False,False,0,,True,False,1,6,False,False,0,,False,False,0,,False,False,0,
167bb5a7-d323-46ff-8752-9cae9a91a79a,2,4,2,True,False,10,True,True,2,1,False,False,0,,True,False,1,1,True,False,1,1,True,True,2,3
16a54991-68c0-4ab9-adf7-e530aca71fcc,2,5,0,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
16c7629c-77ae-4e99-9f08-7616c95a7dc4,2,5,4,True,False,10,True,True,2,2,True,False,1,6,True,True,2,3,True,True,2,3,True,True,2,2
173b3651-a00a-4339-b218-8bb86d8070f1,2,5,2,True,False,10,True,False,1,1,True,False,1,2,True,True,2,1,True,True,2,1,True,False,1,1
1776a5f2-ef61-4d38-a8e4-a73a0dc1d4ba,2,5,5,True,False,10,True,True,2,1,True,True,2,5,True,True,2,1,True,True,2,1,True,True,2,2
178b9c6b-f74a-43ee-85e9-05c5741e1da5,2,5,3,True,False,10,True,False,1,1,True,False,1,1,True,True,2,1,True,True,2,1,True,True,2,1
17c7119d-96eb-434b-9a27-81228b7d7c94,2,5,2,True,False,10,True,False,1,2,True,False,1,1,True,True,2,2,True,False,1,2,True,True,2,1
1814eed6-4949-4c65-994a-b89fd42ef0f1,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
1853d72b-7af0-49b8-a241-5c69a3c52d13,2,5,0,True,False,10,True,False,1,1,True,False,1,7,True,False,1,1,True,False,1,1,True,False,1,2
18b165f7-4d7b-4604-8b6b-6709ac02c620,2,5,1,True,False,10,True,True,2,1,True,False,1,2,True,False,1,1,True,False,1,2,True,False,1,1
19028070-2469-41b6-b88d-430cb4cac975,2,5,0,True,False,10,True,False,1,2,True,False,1,4,True,False,1,2,True,False,1,2,True,False,1,1
197bcff1-5024-46c2-b927-2ddbeba23738,2,5,0,True,False,10,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1,True,False,1,1
197cf032-088d-4630-a32e-12c0a46b284c,2,5,4,True,False,10,True,True,2,1,True,False,1,2,True,True,2,2,True,True,2,3,True,True,2,1
197e23be-4204-494c-afeb-c01214d33b18,2,2,0,False,False,10,True,False,1,9,False,False,0,,False,False,0,,False,False,0,,True,False,1,3
19aa25d1-684d-4718-ac3b-096ee5522236,2,5,2,True,False,10,True,True,2,1,True,False,1,8,True,False,1,5,True,True,2,1,True,False,1,2
19b2c5db-1ef8-4e5b-9dff-abc02354b773,2,4,0,True,False,10,True,False,1,8,True,False,1,4,True,False,1,9,False,False,0,,True,False,1,2
19f2d567-8372-40a2-873f-bbb788cfa1ea,2,5,5,True,False,10,True,True,2,4,True,True,2,1,True,True,2,2,True,True,2,2,True,True,2,1
1a683967-1f9b-41d8-9b6f-0505cc9a2cd1,2,5,5,True,False,10,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1,True,True,2,1
