SourceID,TargetID,ReferenceText,ReferenceType,SourceDocumentID,TargetDocumentID,SourcePassageID,TargetPassageID,SourcePassage,TargetPassage
ba2e367e-866d-49dd-af15-4ea075c30714,d0c91b46-15ed-438d-ac77-71ec3bf30c58,2.14,External,1,10,9.3.1B.Guidance.5.,2.14,An Authorised Person is also required to comply with the outsourcing obligations in GEN 3.3.31 and 3.3.32 and PRU 6.8. A Recognised Body is also required to comply with the outsourcing obligations in MIR 2.14.,Outsourcing
ba2e367e-866d-49dd-af15-4ea075c30714,fd84b50c-c8eb-4937-af8a-e6419c9b7b85,6.8,External,1,13,9.3.1B.Guidance.5.,6.8,An Authorised Person is also required to comply with the outsourcing obligations in GEN 3.3.31 and 3.3.32 and PRU 6.8. A Recognised Body is also required to comply with the outsourcing obligations in MIR 2.14.,Outsourcing
34201eec-cbf5-469f-a0c2-759935e137f1,3159541b-353b-4d89-aaeb-e80f5fedb715,4.5,Internal,1,1,5.1.1.Guidance.5.,4.5,"Section 4.5 sets out the requirements regarding record-keeping for the purposes of the AML Rulebook. These Rules apply in relation to Rule 5.1.1(b)(iii).

",Record keeping
cb40cc9f-1271-40bd-8bc6-2f4e6fce615a,1b188ac1-fed7-4bba-a953-516a9662b74c,9.3,Internal,1,1,8.3.2.Guidance on CDD.9.,9.3,"When employing an eKYC System to assist with CDD, a Relevant Person should:
a.	ensure that it has a thorough understanding of the eKYC System itself and the risks of eKYC, including those outlined by relevant guidance from FATF and other international standard setting bodies;
b.	comply with all the Rules of the Regulator relevant to eKYC including, but not limited to, applicable requirements regarding the business risk assessment, as per Rule 6.1, and outsourcing, as per Rule 9.3;
c.	combine eKYC with transaction monitoring, anti-fraud and cyber-security measures to support a wider framework preventing applicable Financial Crime; and
d.	take appropriate steps to identify, assess and mitigate the risk of the eKYC system being misused for the purposes of Financial Crime.",Outsourcing and agents
641ef80a-a631-455c-b981-eb38f3805187,44e2c477-1fbd-46c4-9391-046045a5b105,1.2.7,External,1,4,4.6.1.Guidance.2.,1.2.7,"FEES 1.2.7 sets out the fees payable for late submission of Regulatory Filings. In addition to the imposition of a fee, the Regulator may take further action.","Late Payment Fees relating to Regulatory Filings
An Authorised Person, a Designated Non-Financial Business or Profession or a Recognised Body that submits a Regulatory Filing after the due date must pay to the Regulator a fee of $500."
cf3b64ce-22f7-4233-aaea-4abb3d39ca9f,7098d095-f354-4f8f-9094-9ee8302212ca,15.2,Internal,1,1,15.4.1,15.2,The Regulator may grant an application for DNFBP registration as a DNFBP if it is satisfied that the applicant meets the criteria for registration under Rule 15.2.,Criteria for registration as a DNFBP
b1179168-5215-4b38-b75b-d904f50fbf38,7098d095-f354-4f8f-9094-9ee8302212ca,15.2,Internal,1,1,15.5.1,15.2,The Regulator may refuse to grant an application for DNFBP registration where it is not satisfied that the applicant meets the criteria for registration under Rule 15.2.,Criteria for registration as a DNFBP
7399a3ed-2a7e-4573-81ca-760e13812521,4b9c6a59-6e53-4bb2-898b-754da927484a,15A,External,1,17,2.Guidance.1.,Part 2.Chapter 4.15A.,"Under Section 15A of FSMR, the Regulator has jurisdiction for the regulation of AML/TFS in the ADGM. The AML Rulebook sets out the requirements imposed by the Regulator. The U.A.E. criminal law applies in the ADGM and, therefore, Persons in the ADGM must be aware of their obligations in respect of the criminal law as well as these Rules. Relevant U.A.E. criminal laws include Federal AML Legislation and Federal Law No. (31) of 2021 (the Penal Code of the United Arab Emirates (U.A.E.)). The Rules in the AML Rulebook should not be relied upon to interpret or determine the application of the criminal laws of the U.A.E.","Powers of the Regulator
"
ba2e367e-866d-49dd-af15-4ea075c30714,2222146c-60fc-432c-948b-398a779634093,3.3.32,External,1,7,9.3.1B.Guidance.5.,3.3.32,An Authorised Person is also required to comply with the outsourcing obligations in GEN 3.3.31 and 3.3.32 and PRU 6.8. A Recognised Body is also required to comply with the outsourcing obligations in MIR 2.14.,
c96c05de-76d2-4f05-b2ea-6f4fb9615094,2bb23374-a3ae-4dd1-af3e-7222ecda1e98,4.5.1,Internal,1,1,4.5.2,4.5.1,"A Relevant Person must immediately provide to the Regulator, upon request, or a law enforcement agency, pursuant to a valid and enforceable request or requirement, a copy of the record referred to in Rule 4.5.1.","A Relevant Person must, where relevant, maintain the following records:
(a)	a copy of all documents and information obtained in undertaking initial and ongoing CDD or due diligence on business partners;
(b)	records, consisting of the original documents or certified copies, in respect of the customer business relationship, including:
(i)	business correspondence and other information relating to a customer’s account;
(ii)	sufficient records of transactions to enable individual transactions to be reconstructed; and
(iii)	internal findings and analysis relating to a transaction or any business, if the transaction or business appears unusual or suspicious, whether or not it results in a Suspicious Activity/Transaction Report;
(c)	internal notifications of suspicious activity made to its MLRO under Rule ‎‎14.2.2;
(d)	Suspicious Activity/Transaction Reports and any relevant supporting documents and information, including internal findings and analysis;
(e)	any relevant communications with the FIU;
(f)	the documents in Rule ‎4.6.1; and
(g)	any other matter that the Relevant Person is expressly required to record under these Rules,
for at least six years from the date on which the notification or report was made, the business relationship ends or the Transaction is completed, whichever occurs last."
